minute,webe_count,actigraph_SW,model_pred_SW
2026-05-17 05:55:00,1417.6280228502656,S,S
2026-05-17 05:56:00,862.6321190678937,S,S
2026-05-17 05:57:00,1846.2220651480677,S,S
2026-05-17 05:58:00,1065.3638184547965,S,S
2026-05-17 05:59:00,1010.3901783855908,S,S
2026-05-17 06:00:00,975.064849430244,S,S
2026-05-17 06:01:00,1049.375265030474,S,S
2026-05-17 06:02:00,976.3794506215708,S,S
2026-05-17 06:03:00,952.5332269840436,S,S
2026-05-17 06:04:00,1004.7474636075204,S,S
2026-05-17 06:05:00,971.245508247317,S,S
2026-05-17 06:06:00,957.4091370487876,S,S
2026-05-17 06:07:00,1034.3717696535823,S,S
2026-05-17 06:08:00,1335.0720302571062,S,S
2026-05-17 06:09:00,986.3291620373128,S,S
2026-05-17 06:10:00,952.9444126550223,S,S
2026-05-17 06:11:00,1182.268233994531,S,S
2026-05-17 06:12:00,951.1051141463612,S,S
2026-05-17 06:13:00,993.4912287010376,S,S
2026-05-17 06:14:00,930.5254624187072,S,S
2026-05-17 06:15:00,999.946735288264,S,S
2026-05-17 06:16:00,975.3357264482185,S,S
2026-05-17 06:17:00,960.6650225716368,S,S
2026-05-17 06:18:00,1043.9266171530544,S,S
2026-05-17 06:19:00,1028.8440563232143,S,S
2026-05-17 06:20:00,2296.921485530278,S,S
2026-05-17 06:21:00,1043.8242696484813,S,S
2026-05-17 06:22:00,1103.1445309708652,S,S
2026-05-17 06:23:00,1028.2156447719026,S,S
2026-05-17 06:24:00,387937.0151300692,S,W
2026-05-17 06:25:00,3971.9710215649393,S,S
2026-05-17 06:26:00,2495.352235458755,S,S
2026-05-17 06:27:00,2482.2553093905663,S,S
2026-05-17 06:28:00,2544.069831680797,S,S
2026-05-17 06:29:00,2442.2453219950185,S,S
2026-05-17 06:30:00,2620.1821968514632,S,S
2026-05-17 06:31:00,4076.337323036249,S,S
2026-05-17 06:32:00,1963.9141244170169,S,S
2026-05-17 06:33:00,2060.9850101849224,S,S
2026-05-17 06:34:00,2132.1669654624275,S,S
2026-05-17 06:35:00,2129.3830118189944,S,S
2026-05-17 06:36:00,2099.8000957910263,S,S
2026-05-17 06:37:00,2088.475928373104,S,S
2026-05-17 06:38:00,2201.2584391613927,S,S
2026-05-17 06:39:00,2232.2239073701057,S,S
2026-05-17 06:40:00,2241.4272787297523,S,S
2026-05-17 06:41:00,1522444.614956821,S,W
2026-05-17 06:42:00,2096.835817915351,S,S
2026-05-17 06:43:00,826728.149718225,S,W
2026-05-17 06:44:00,2896.5686681258944,S,S
2026-05-17 06:45:00,4632.599512659804,S,S
2026-05-17 06:46:00,5099.769010803717,S,S
2026-05-17 06:47:00,4671.834622037353,S,S
2026-05-17 06:48:00,2127925.966726581,W,W
2026-05-17 06:49:00,1836.7546556260927,S,S
2026-05-17 06:50:00,1607.3326568286866,S,S
2026-05-17 06:51:00,1670.9638372710033,S,S
2026-05-17 06:52:00,4255.458272534903,W,S
2026-05-17 06:53:00,136832.96152109787,S,W
2026-05-17 06:54:00,2483.992948385727,S,S
2026-05-17 06:55:00,2750.1685892152746,S,S
2026-05-17 06:56:00,543039.1806200774,S,W
2026-05-17 06:57:00,2788.829856070646,S,S
2026-05-17 06:58:00,7039.525352229277,S,S
2026-05-17 06:59:00,2557.8945764669625,S,S
2026-05-17 07:00:00,499537.43140316487,S,W
2026-05-17 07:01:00,3705.21394087738,S,S
2026-05-17 07:02:00,3792.7965932921934,S,S
2026-05-17 07:03:00,3521.0900937298866,S,S
2026-05-17 07:04:00,3298.6229639009107,S,S
